bench,mode,cycles,retired,ipc,cpi,ipc_x1000,stalls,stalls_per_inst,flushes,flushes_per_inst,mem_wait,mem_wait_per_inst,load_use,load_use_per_inst,reconfigs,reconfig_penalty,reconfig_penalty_per_switch,energy,energy_per_inst,safety_faults,phase,final_mode,timed_out,arch_hash
branch_heavy,fixed_low_power,128,74,0.5781,1.7297,578,30,0.4054,46,0.6216,0,0.0000,1,0.0135,0,0,0.0000,422,5.7027,0,frontend_stall,low_power,0,0xcb468f4c
branch_heavy,adaptive_pipesense,128,74,0.5781,1.7297,578,30,0.4054,46,0.6216,0,0.0000,1,0.0135,0,0,0.0000,678,9.1622,0,frontend_stall,normal,0,0xcb468f4c
memory_heavy,static_normal,231,100,0.4329,2.3100,432,117,1.1700,26,0.2600,84,0.8400,42,0.4200,0,0,0.0000,1231,12.3100,0,memory_stall,normal,0,0x1fc41a0a
memory_heavy,fixed_branch,218,100,0.4587,2.1800,458,104,1.0400,13,0.1300,84,0.8400,42,0.4200,0,0,0.0000,1192,11.9200,0,memory_stall,branch_opt,0,0x1fc41a0a
memory_heavy,fixed_memory,147,100,0.6803,1.4700,680,33,0.3300,26,0.2600,0,0.0000,14,0.1400,0,0,0.0000,839,8.3900,0,balanced,memory_opt,0,0x1fc41a0a
memory_heavy,fixed_hazard,217,100,0.4608,2.1700,460,103,1.0300,26,0.2600,84,0.8400,0,0.0000,0,0,0.0000,1217,12.1700,0,memory_stall,hazard_opt,0,0x1fc41a0a
memory_heavy,fixed_low_power,231,100,0.4329,2.3100,432,117,1.1700,26,0.2600,84,0.8400,42,0.4200,0,0,0.0000,769,7.6900,0,memory_stall,low_power,0,0x1fc41a0a
memory_heavy,adaptive_pipesense,231,100,0.4329,2.3100,432,117,1.1700,26,0.2600,84,0.8400,42,0.4200,0,0,0.0000,1231,12.3100,0,memory_stall,normal,0,0x1fc41a0a
load_use_heavy,static_normal,205,128,0.6244,1.6016,624,59,0.4609,34,0.2656,0,0.0000,36,0.2812,0,0,0.0000,1125,8.7891,0,load_use_hazard,normal,0,0x9f6c3f63
load_use_heavy,fixed_branch,188,128,0.6809,1.4688,680,42,0.3281,17,0.1328,0,0.0000,36,0.2812,0,0,0.0000,1074,8.3906,0,load_use_hazard,branch_opt,0,0x9f6c3f63
load_use_heavy,fixed_memory,205,128,0.6244,1.6016,624,59,0.4609,34,0.2656,0,0.0000,36,0.2812,0,0,0.0000,1125,8.7891,0,load_use_hazard,memory_opt,0,0x9f6c3f63
load_use_heavy,fixed_hazard,169,128,0.7574,1.3203,757,23,0.1797,34,0.2656,0,0.0000,0,0.0000,0,0,0.0000,1017,7.9453,0,load_use_hazard,hazard_opt,0,0x9f6c3f63
load_use_heavy,fixed_low_power,205,128,0.6244,1.6016,624,59,0.4609,34,0.2656,0,0.0000,36,0.2812,0,0,0.0000,715,5.5859,0,load_use_hazard,low_power,0,0x9f6c3f63
load_use_heavy,adaptive_pipesense,205,128,0.6244,1.6016,624,59,0.4609,34,0.2656,0,0.0000,36,0.2812,0,0,0.0000,1125,8.7891,0,load_use_hazard,normal,0,0x9f6c3f63
mixed_control,static_normal,131,76,0.5802,1.7237,580,43,0.5658,22,0.2895,26,0.3421,0,0.0000,0,0,0.0000,747,9.8289,0,frontend_stall,normal,0,0xaed16614
mixed_control,fixed_branch,120,76,0.6333,1.5789,633,32,0.4211,11,0.1447,26,0.3421,0,0.0000,0,0,0.0000,714,9.3947,0,memory_stall,branch_opt,0,0xaed16614
mixed_control,fixed_memory,105,76,0.7238,1.3816,723,17,0.2237,22,0.2895,0,0.0000,0,0.0000,0,0,0.0000,617,8.1184,0,balanced,memory_opt,0,0xaed16614
mixed_control,fixed_hazard,131,76,0.5802,1.7237,580,43,0.5658,22,0.2895,26,0.3421,0,0.0000,0,0,0.0000,747,9.8289,0,frontend_stall,hazard_opt,0,0xaed16614
mixed_control,fixed_low_power,131,76,0.5802,1.7237,580,43,0.5658,22,0.2895,26,0.3421,0,0.0000,0,0,0.0000,485,6.3816,0,frontend_stall,low_power,0,0xaed16614
mixed_control,adaptive_pipesense,131,76,0.5802,1.7237,580,43,0.5658,22,0.2895,26,0.3421,0,0.0000,0,0,0.0000,747,9.8289,0,frontend_stall,normal,0,0xaed16614
